Approach, Number of Writers, Buffer Size, Numbers to write, Time elapsed
Cell-Lockable,8 ,268435456 ,67108864  ,4.709196364
Cell-Lockable,8 ,268435456 ,67108864  ,4.832601490
Cell-Lockable,8 ,268435456 ,67108864  ,4.861121133
Cell-Lockable,8 ,1073741824,67108864  ,0.120657954
Cell-Lockable,8 ,1073741824,67108864  ,0.220013656
Cell-Lockable,8 ,1073741824,67108864  ,0.204097222
Cell-Lockable,8 ,1073741824,67108864  ,0.203806811
Cell-Lockable,8 ,1073741824,67108864  ,0.105239251
Cell-Lockable,8 ,4294967296,67108864  ,0.120920396
Cell-Lockable,8 ,4294967296,67108864  ,0.105057450
Cell-Lockable,8 ,4294967296,67108864  ,0.217864595
Cell-Lockable,8 ,4294967296,67108864  ,0.118361812
Cell-Lockable,8 ,4294967296,67108864  ,0.148866156
Cell-Lockable,8 ,17179869184,67108864  ,0.189453868
Cell-Lockable,8 ,17179869184,67108864  ,0.193859580
Cell-Lockable,8 ,17179869184,67108864  ,0.208262216
Cell-Lockable,8 ,17179869184,67108864  ,0.120381294
Cell-Lockable,8 ,17179869184,67108864  ,0.145699849
